fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_SApM,diff_SLpM,diff_Draws,diff_TDAcc,diff_TDAvg,diff_StrDef,diff_Losses,diff_TDDef,diff_Weight,diff_Wins,diff_StrAcc,diff_Height_in,diff_Reach,diff_SubAvg,diff_Age
Charles Johnson,Ramazan Temirov,fighter2,125.0,70,4.77,50,3.62,57,0.56,23,67,0.4,125.0,63,8.12,41,1.41,75,0.0,0,0,0.0,17,6,0,18,3,0,69.0,64.0,34.0,28.0,False,False,False,True,False,True,False,False,2.21,-3.3499999999999996,0,23,0.56,-18,3,67,0.0,-1,9,5.0,7,0.4,6.0
Andrea Lee,JJ Aldrich,fighter2,125.0,69,4.71,46,3.83,62,1.7,55,54,0.6,125.0,67,3.88,46,4.38,60,0.66,23,66,0.0,13,10,0,13,7,0,66.0,65.0,36.0,32.0,False,True,False,False,False,False,True,False,-0.5499999999999998,0.8300000000000001,0,32,1.04,2,3,-12,0.0,0,0,1.0,2,0.6,4.0
Erin Blanchfield,JJ Aldrich,fighter1,125.0,66,5.24,44,4.21,59,1.86,31,80,0.8,125.0,67,3.88,46,4.38,60,0.66,23,66,0.0,13,2,0,13,7,0,64.0,65.0,25.0,32.0,False,True,False,False,False,False,True,False,-0.16999999999999993,1.3600000000000003,0,8,1.2000000000000002,-1,-5,14,0.0,0,-2,-1.0,-1,0.8,-7.0
Danny Silva,Lucas Almeida,fighter1,145.0,70,8.3,58,9.47,59,3.0,50,100,0.5,145.0,71,4.94,43,4.92,46,0.0,0,50,0.0,9,1,0,15,3,0,71.0,71.0,28.0,34.0,False,False,False,True,False,True,False,False,4.550000000000001,3.3600000000000003,0,50,3.0,13,-2,50,0.0,-6,15,0.0,-1,0.5,-6.0
Ricardo Ramos,Chepe Mariscal,fighter2,145.0,72,3.03,36,3.85,55,2.77,61,72,0.8,145.0,69,4.75,57,3.24,50,3.09,39,72,0.3,17,6,0,17,6,0,69.0,67.0,29.0,32.0,False,True,False,False,False,True,False,False,0.6099999999999999,-1.7200000000000002,0,22,-0.31999999999999984,5,0,0,0.0,0,-21,2.0,3,0.5,-3.0
Austen Lane,Mario Pinto,fighter2,245.0,80,2.47,50,2.44,40,2.03,30,0,0.0,265.0,79,8.16,93,4.08,61,0.0,0,0,0.0,13,5,0,9,0,0,78.0,77.0,37.0,27.0,False,True,False,False,False,True,False,False,-1.6400000000000001,-5.6899999999999995,0,30,2.03,-21,5,0,-20.0,4,-43,1.0,1,0.0,10.0
Danny Barlow,Sam Patterson,fighter2,170.0,79,5.72,50,3.48,52,0.0,0,100,0.0,170.0,78,2.66,37,3.37,48,1.94,100,33,3.9,9,0,0,12,2,1,74.0,75.0,29.0,28.0,False,False,True,False,False,True,False,False,0.10999999999999988,3.0599999999999996,-1,-100,-1.94,4,-2,67,0.0,-3,13,-1.0,1,-3.9,1.0
Vanessa Demopoulos,Jinh Yu Frey,fighter1,115.0,59,3.87,41,5.53,41,0.41,11,27,0.5,115.0,65,2.97,43,4.23,52,1.02,36,90,0.3,11,6,0,11,10,0,62.0,63.0,36.0,39.0,False,True,False,False,False,False,True,False,1.2999999999999998,0.8999999999999999,0,-25,-0.6100000000000001,-11,-4,-63,0.0,0,-2,-1.0,-6,0.2,-3.0
Jessica Eye,Maycee Barber,fighter2,125.0,66,3.86,37,4.19,55,0.58,40,57,0.5,125.0,65,4.7,53,2.9,54,1.44,43,53,0.1,15,11,0,14,2,0,66.0,65.0,38.0,26.0,False,True,False,False,False,False,False,True,1.2900000000000005,-0.8400000000000003,0,-3,-0.86,1,9,4,0.0,1,-16,1.0,1,0.4,12.0
Jessica-Rose Clark,Julija Stoliarenko,fighter2,135.0,64,3.73,51,3.51,58,1.66,42,62,0.3,125.0,66,2.49,39,4.54,46,0.93,27,54,1.7,11,9,0,11,9,2,65.0,67.0,37.0,31.0,False,True,False,False,False,True,False,False,-1.0300000000000002,1.2399999999999998,-2,15,0.7299999999999999,12,0,8,10.0,0,12,-2.0,-2,-1.4,6.0
Nicolae Negumereanu,Ihor Potieria,fighter1,205.0,78,3.58,41,5.56,39,1.02,28,62,0.0,185.0,75,4.44,50,4.96,50,0.73,18,66,0.0,13,2,0,20,8,0,72.0,75.0,30.0,28.0,False,True,False,False,False,False,True,False,0.5999999999999996,-0.8600000000000003,0,10,0.29000000000000004,-11,-6,-4,20.0,-7,-9,-3.0,3,0.0,2.0
Orion Cosce,Blood Diamond,fighter1,170.0,71,2.77,53,4.02,44,1.92,40,61,0.0,170.0,76,3.12,55,2.17,48,0.0,0,73,0.0,8,2,0,3,3,0,71.0,71.0,30.0,36.0,False,False,False,True,False,False,False,True,1.8499999999999996,-0.3500000000000001,0,40,1.92,-4,-1,-12,0.0,5,-2,0.0,-5,0.0,-6.0
Joselyne Edwards,Ji Yeon Kim,fighter1,135.0,70,4.48,52,3.19,49,1.23,39,61,0.6,125.0,72,5.37,36,5.41,56,0.0,0,50,0.1,14,6,0,9,7,2,68.0,67.0,29.0,35.0,False,True,False,False,False,True,False,False,-2.22,-0.8899999999999997,-2,39,1.23,-7,-1,11,10.0,5,16,1.0,-2,0.5,-6.0
Stephanie Egger,Ailin Perez,fighter1,135.0,68,2.2,46,2.48,52,2.48,42,50,0.6,135.0,66,3.1,54,1.79,55,4.68,46,66,0.2,8,5,0,12,2,0,66.0,65.0,36.0,30.0,False,True,False,False,False,False,False,True,0.69,-0.8999999999999999,0,-4,-2.1999999999999997,-3,3,-16,0.0,-4,-8,1.0,2,0.39999999999999997,6.0
Nikolas Motta,Cameron VanCamp,fighter1,155.0,70,3.64,37,4.5,56,0.0,0,82,0.0,155.0,74,5.31,47,6.41,40,0.0,0,0,0.0,15,5,0,15,7,1,69.0,74.0,32.0,31.0,False,True,False,False,False,False,False,True,-1.9100000000000001,-1.6699999999999995,-1,0,0.0,16,-2,82,0.0,0,-10,-5.0,-4,0.0,1.0
Khalid Taha,Cristian Quinonez,fighter2,135.0,69,2.64,32,4.12,46,0.0,0,61,0.2,135.0,70,4.19,40,4.55,55,1.37,37,84,0.0,13,5,0,18,5,0,65.0,68.0,33.0,28.0,False,True,False,False,False,True,False,False,-0.4299999999999997,-1.5500000000000003,0,-37,-1.37,-9,0,-23,0.0,-5,-8,-3.0,-1,0.2,5.0
Tony Gravely,Javid Basharat,fighter2,135.0,69,3.82,48,4.47,44,5.4,41,52,0.3,135.0,69,5.41,53,2.96,61,1.62,40,83,0.2,23,9,0,14,2,0,65.0,69.0,33.0,29.0,False,True,False,False,False,True,False,False,1.5099999999999998,-1.5900000000000003,0,1,3.7800000000000002,-17,7,-31,0.0,9,-5,-4.0,0,0.09999999999999998,4.0
Mariya Agapova,Gillian Robertson,fighter2,125.0,68,4.43,54,3.62,52,0.55,66,45,0.8,115.0,63,2.89,48,2.95,56,2.68,39,41,1.0,10,5,0,15,8,0,66.0,65.0,27.0,29.0,False,False,True,False,False,True,False,False,0.6699999999999999,1.5399999999999996,0,27,-2.13,-4,-3,4,10.0,-5,6,1.0,5,-0.19999999999999996,-2.0
Anthony Hernandez,Marc-Andre Barriault,fighter1,185.0,75,4.5,63,2.61,46,6.27,45,66,1.9,185.0,74,5.98,47,5.58,52,0.21,25,67,0.1,14,2,0,16,9,0,72.0,73.0,31.0,35.0,False,True,False,False,False,True,False,False,-2.97,-1.4800000000000004,0,20,6.06,-6,-7,-1,0.0,-2,16,-1.0,1,1.7999999999999998,-4.0
Trey Ogden,Daniel Zellhuber,fighter1,155.0,72,3.2,50,3.49,55,1.89,32,100,0.7,155.0,77,6.26,40,6.02,55,0.18,25,94,0.2,18,7,0,15,2,0,71.0,73.0,35.0,25.0,False,True,False,False,False,False,False,True,-2.5299999999999994,-3.0599999999999996,0,7,1.71,0,5,6,0.0,3,10,-2.0,-5,0.49999999999999994,10.0
Damon Jackson,Pat Sabatini,fighter1,155.0,71,2.96,42,3.47,49,2.3,32,37,1.2,145.0,70,1.94,59,1.47,48,3.97,44,50,2.0,23,8,1,19,5,0,71.0,68.0,36.0,34.0,False,False,False,True,False,True,False,False,2.0,1.02,1,-12,-1.6700000000000004,1,3,-13,10.0,4,-17,3.0,1,-0.8,2.0
Tanner Boser,Rodrigo Nascimento,fighter2,205.0,75,4.7,52,2.75,58,0.0,0,63,0.0,246.0,80,3.71,47,4.34,44,1.02,37,60,0.5,21,10,1,11,3,0,74.0,74.0,33.0,32.0,False,True,False,False,False,True,False,False,-1.5899999999999999,0.9900000000000002,1,-37,-1.02,14,7,3,-41.0,10,5,0.0,-5,-0.5,1.0
Denise Gomes,Loma Lookboonmee,fighter2,115.0,63,4.55,50,3.11,51,0.72,25,67,0.9,115.0,61,4.1,57,2.48,53,1.9,50,72,0.1,10,3,0,9,3,0,62.0,61.0,25.0,29.0,False,True,False,False,False,True,False,False,0.6299999999999999,0.4500000000000002,0,-25,-1.18,-2,0,-5,0.0,1,-7,1.0,2,0.8,-4.0
Joe Pyfer,Alen Amedovski,fighter1,185.0,75,3.72,41,3.48,51,1.45,41,50,0.9,185.0,74,0.99,30,3.85,46,0.0,0,0,0.0,13,3,0,8,4,0,74.0,70.0,28.0,36.0,False,True,False,False,False,True,False,False,-0.3700000000000001,2.7300000000000004,0,41,1.45,5,-1,50,0.0,5,11,4.0,1,0.9,-8.0
Andre Fili,Bill Algeo,fighter1,145.0,74,3.84,37,4.15,51,2.17,44,70,0.2,145.0,73,5.88,51,4.38,47,1.03,50,55,0.1,24,12,0,18,9,0,71.0,72.0,34.0,35.0,False,True,False,False,False,False,False,True,-0.22999999999999954,-2.04,0,-6,1.14,4,3,15,0.0,6,-14,-1.0,1,0.1,-1.0
